,video_id,rating
429,DdA7tUIzA5Q,62
430,bUUt0v4ziG4,-6
431,TdH_NL35Nbw,25
432,SjZWJoNYpHI,13
433,8wNr-NQImFg,14
434,TPnuT2TLvLQ,14
435,-s267WkYVoo,29
436,iIYXR4axaJY,44
437,4F2KWDQQMhY,64
438,Xqpf1FxU2q4,39
439,SMinvx9EkPs,10
440,fS5xHHqW-6E,49
441,z5eG8fD-hQw,-4
442,zcqZHYo7ONs,25
443,cMKX2tE5Luk,31
444,zAtHxJvSczA,10
445,FfRGxN2zeWU,58
446,eERPlIdPJtI,66
447,dtqlSPt4z20,9
448,q9o_VjdugHw,-1
449,-Ifnaxi2LQg,15
450,4MkC65emkG4,18
451,5eSSL8hRU_E,8
452,WCYHrvLTaqg,35
453,KEBDxhqhzF0,36
454,1L7JFN7tQLs,23
455,R6ja9qNmOaM,17
456,IYvEhgYy35I,38
457,ZtXkNMbjOEE,27
458,CsdzflTXBVQ,33
459,I1P7GoZcZpU,12
460,6z-X4r5JkyI,51
461,unIkqhB2nA0,2
462,lv5uC6cfO5c,4
463,5fsEPf_Uuao,22
464,ZQK1F0wz6z4,22
465,Q1eQw4ycgQM,3
466,zgLtEob6X-Q,28
467,A0lYm7Qsbak,38
468,Zmi9iQp6944,74
469,_ANP3HR1jsM,14
470,368_ovPsJk8,12
471,tBN9kLaS-uw,39
472,etmUU1bs41s,22
473,bvim4rsNHkQ,36
474,bZJpwidiMco,37
475,CYoRmfI0LUc,16
476,w-n3qiLeVqg,20
477,1u5jO57eD-U,19
478,FSOxXsYVJMQ,21
479,Xul7ku1XxRY,13
480,scIizw2asro,37
481,7YAAyUFL1GQ,35
482,nImFZRtGeAQ,17
483,cNgT8qEQJ3w,22
484,bvomHFZO0mk,22
485,XSLc0d5aM04,1
486,F4ELqraXx-U,34
487,TngCi2s5rmk,8
488,0eKdNcP4xrM,38
489,XpVt6Z1Gjjo,4
490,9YyB6sQ4iwA,18
491,xHvVhhFvLtY,21
492,cOboLQMO4tQ,-7
493,WYYvHb03Eog,13
494,MdBu21i9aEE,48
495,IDvy0ybpOUI,21
496,Zya-JNMJ62k,12
497,LolP3Y7_Irs,40
498,cxLQAuQsOWI,43
499,zKriLekFPwg,57
500,4X6a3G_0HjY,-11
501,t4QwhVt5Zk0,30
502,B8G8m08G_yo,13
503,O-eWLaO3gy4,49
504,AQa9pEkQ_0Y,58
505,UqmxHwLI9yg,32
